,t,N,n_points,base_seed_requested,effective_base_seed,state_seed,family,family_min_jtot,health_check,corr_J_rho,corr_J_tot,corr_SL,corr_P_pair,corr_N_pair,corr_N_env,target_max,target_mean,J_tot_min_grid,J_tot_mean_grid,state_idx
1124,0.45,8,144,1,1,1029,broad_xyz,21.99112410904393,False,0.8385801025032992,0.9509362706071098,0.938637857915394,-0.8584483219942339,-0.8312137128180292,-0.0968149989063424,0.1470276732648852,0.0910751637904056,2.2119365552471064e-15,17.487037648106664,19
1125,0.5,8,144,1,1,1029,broad_xyz,21.99112410904393,False,0.8790434583602774,0.9220446370849196,0.9208710559327604,-0.8608559997252229,-0.7464300602273647,-0.2435419572888905,0.1444928001995191,0.0935645361510199,2.2119365552471064e-15,17.487037648106664,19
1126,0.55,8,144,1,1,1029,broad_xyz,21.99112410904393,False,0.8191054895734678,0.8385988257375612,0.8584777461863,-0.8383506230546245,-0.6218854289501368,-0.35729317314546,0.155285339493666,0.1049386537928037,2.2119365552471064e-15,17.487037648106664,19
1127,0.6,8,144,1,1,1029,broad_xyz,21.99112410904393,False,0.6599941892663004,0.7214673487067165,0.8062846691561507,-0.7794859182457314,-0.5913526362848176,-0.4486875297044755,0.1567538470679497,0.1141930610202501,2.2119365552471064e-15,17.487037648106664,19
1128,0.6499999999999999,8,144,1,1,1029,broad_xyz,21.99112410904393,False,0.6497419270734376,0.7520633138326539,0.8280344901124117,-0.7879503577209143,-0.7185362241280497,-0.5277515664024129,0.1561820691409381,0.1127071542599456,2.2119365552471064e-15,17.487037648106664,19
1129,0.7,8,144,1,1,1029,broad_xyz,21.99112410904393,False,0.7368570975207385,0.8079790403082667,0.855888037823097,-0.784198065792298,-0.8390479020434922,-0.5773007675970758,0.1561941110942517,0.1069616661821393,2.2119365552471064e-15,17.487037648106664,19
1130,0.725,8,144,1,1,1029,broad_xyz,21.99112410904393,False,0.7687363889160943,0.8301996585243683,0.8800866074742338,-0.7643752108831346,-0.8804662049444332,-0.5892978391279385,0.159461174217028,0.1050215009022472,2.2119365552471064e-15,17.487037648106664,19
1131,0.75,8,144,1,1,1029,broad_xyz,21.99112410904393,False,0.7885310541041036,0.8533197558617934,0.9027995991154714,-0.7289991501483544,-0.9047386547372211,-0.5932149843839319,0.1620226789445628,0.103578695751518,2.2119365552471064e-15,17.487037648106664,19
1132,0.775,8,144,1,1,1029,broad_xyz,21.99112410904393,False,0.8072832646863033,0.8730897327577165,0.9169536892195568,-0.6795343147381558,-0.913791639848758,-0.5882356412891295,0.1600446824633481,0.1021493601134436,2.2119365552471064e-15,17.487037648106664,19
1133,0.8,8,144,1,1,1029,broad_xyz,21.99112410904393,False,0.8213137315092017,0.8906357837864558,0.9250960871133372,-0.6070021218714713,-0.9179907642556636,-0.5760199506950507,0.1548785362173584,0.1004811683950184,2.2119365552471064e-15,17.487037648106664,19
1134,0.825,8,144,1,1,1029,broad_xyz,21.99112410904393,False,0.8201242688702787,0.9080819096819976,0.9316538055920708,-0.4907051773697463,-0.9261259179321736,-0.5558982332477683,0.1519870431872963,0.0985394946984187,2.2119365552471064e-15,17.487037648106664,19
