lambda_h_over_Jbar,h,t,N_geometries,Delta_I3_mean,Delta_I3_median,Delta_I3_std,frac_geometry_frustrated_gt_non,Delta_mean_J_rho_exp_mean,Delta_mean_J_rho_exp_median,Delta_mean_S_L_mean,Delta_mean_S_L_median,Delta_mean_P_pair_mean,Delta_mean_P_pair_median,Delta_mean_N_pair_sum_mean,Delta_mean_N_pair_sum_median
1.25,1.25,0.1,196,-5.652764690860048e-07,0.0,7.511873069403689e-07,0.00510204081632653,0.01887707254047582,0.015051417041371931,-1.222499256021148e-11,-1.1105963371171867e-11,0.0023602254649650023,0.002124517714078039,0.0012458140669732807,0.0012926395035135901
1.25,1.25,0.3,196,-0.00027978727814952277,-0.00012751785411995733,0.0003385551934186174,0.015306122448979591,-0.006814115051088779,-0.0033584296991482354,1.2692901857828869e-07,1.0952666398833522e-07,0.07953302747508009,0.07223861079377547,0.008729736128725267,0.008951689276346736
1.25,1.25,0.5,196,-0.002836635581068026,-0.0015799676761106456,0.0033413440400507457,0.061224489795918366,0.0019204906558030516,0.01222608041007349,2.444670695796223e-05,2.0491186381754734e-05,0.20890477535541505,0.17837714515658876,0.012047843456017756,0.0127353870302305
1.25,1.25,0.9,196,-0.007719188564303293,-0.0070181290768165355,0.006586393134944663,0.07142857142857142,0.05122789379111267,0.04377561279130826,0.0014846252031333169,0.001242309866594446,0.26020178173992403,0.24085862696242555,0.05066472516959176,0.04299446968143433
1.25,1.25,1.3,196,-0.010166528484317084,-0.010420098740681685,0.01175303295898585,0.1683673469387755,-0.010669036190605441,-0.01218218208767452,0.003728219012151202,0.003030211386516976,0.06819974049018789,0.04953107472943458,0.007255389583979455,0.006954938083109874
1.25,1.25,2.0,196,0.0003863129783252873,-0.002154030737389935,0.01895677138934395,0.45408163265306123,0.030384931916010598,0.006722798756496562,-0.004958682684370911,-0.0034032532823478068,-0.11079403182468107,-0.1396730553619635,0.009694592809351128,0.013339854631404136
1.5,1.5,0.1,196,-9.381764972049311e-07,0.0,1.2410996768117807e-06,0.00510204081632653,0.02589447265275254,0.020917319890747632,-2.0974184973854962e-11,-1.9045931498595792e-11,0.002859438968295139,0.00257125494955851,0.0015001482673027118,0.0015522649002887579
1.5,1.5,0.3,196,-0.0004178480611796382,-0.00019379581949832182,0.0004992829728061017,0.015306122448979591,-0.021517438697821658,-0.01277299481811045,4.326119061101472e-07,3.8107622445104905e-07,0.09304537604636506,0.08417134874854204,0.012500067956936214,0.012896173252185256
1.5,1.5,0.5,196,-0.003504766182861953,-0.0022602571209443282,0.003909107118737964,0.04591836734693878,-0.004513847686992856,0.00018581507252793394,5.335133751888071e-05,4.4678415532864446e-05,0.23090401220013687,0.19802618973050323,0.03893875989973148,0.03873763365626026
1.5,1.5,0.9,196,-0.0068567256708922004,-0.006088219641592859,0.004806652222083631,0.015306122448979591,0.10990054345681224,0.08772828567103796,0.0016348427407215705,0.001372752889094428,0.14884133186002374,0.1361139121860343,0.02529899021004631,0.017607757185116896
1.5,1.5,1.3,196,-0.0021434890216932537,-0.0018202221352154185,0.005248597841925753,0.32653061224489793,0.012779205073444816,0.023437050966513828,0.0011245787267835038,0.0009204437179862052,0.07225192197839368,0.039403537385599485,0.013581987123026776,0.009428359902894562
1.5,1.5,2.0,196,-0.024943547136580414,-0.02662841573820886,0.0181382395973914,0.12755102040816327,0.03750806680929047,-0.0018270360269817265,-0.003597874412365863,-0.002291324580662446,0.008945832668063656,0.02870138505921549,0.006396533567224415,0.015349459771371532
