lambda_h_over_Jbar,h,Jbar_RMS,R_internal_norm,J_CD,include_D_transverse,env_label,t,frustration_label,N,mean_I3_minus,median_I3_minus,max_I3_minus,mean_J_rho_exp,median_J_rho_exp,max_J_rho_exp,mean_S_L,mean_P_pair,mean_N_pair_sum,mean_J_tot,std_J_tot,J_tot_analytic,corr_Jrho_I3,corr_SL_I3,corr_Ppair_I3,corr_Npair_I3,mean_edge_participation,mean_edge_imbalance,mean_top2_balance
1.25,1.25,1.0,1.7320508075688772,0.2,True,D_with_TF,1.3,non_frustrated,784,0.05768260951855551,0.06024148175012526,0.11988222270577607,0.31430610556804406,0.24790294479273273,0.8129902506092431,0.028022565380467497,1.37098488533166,0.3821624453003902,2.706329386826371,6.45030042320535e-16,2.7063293868263707,-0.3716736257610013,0.15350421209440893,0.5541224517052552,0.5644266260078288,1.749610867461622,0.6604810675391827,0.3557480047577573
1.25,1.25,1.0,1.7320508075688772,0.2,True,D_with_TF,2.0,frustrated,784,0.07124430398282419,0.06851363587298924,0.16819331809448773,0.2907940651924734,0.28909239250304497,0.6698780774986971,0.040438916340065856,1.3920932132311623,0.39454682054093443,2.706329386826371,6.45030042320535e-16,2.7063293868263707,0.023146085092942147,0.25676320045113366,0.3933261555574707,0.3687231919684632,1.749610867461622,0.6604810675391827,0.3557480047577573
1.25,1.25,1.0,1.7320508075688772,0.2,True,D_with_TF,2.0,non_frustrated,784,0.0708579910044989,0.07460597103225616,0.1741118603868852,0.2604091332764628,0.25298830181659426,0.5712543177521997,0.045397599024436776,1.5028872450558433,0.3848522277315834,2.706329386826371,6.45030042320535e-16,2.7063293868263707,-0.21476741763914167,0.19591169240084164,0.36844687232258017,0.30833365399645174,1.749610867461622,0.6604810675391827,0.3557480047577573
1.5,1.5,1.0,1.7320508075688772,0.2,True,D_with_TF,0.1,frustrated,784,1.6029827209343336e-05,0.0,7.253653489810446e-05,0.6599468334956267,0.699080470320278,1.0560184727508377,1.7378823906157168e-05,0.33878374944759976,0.2044768242043498,3.897114317029974,4.934576298720436e-16,3.8971143170299736,-0.5516412821347826,0.07738607803635134,-0.7638579555778974,0.05176870546152031,1.749610867461622,0.6604810675391827,0.3557480047577573
1.5,1.5,1.0,1.7320508075688772,0.2,True,D_with_TF,0.1,non_frustrated,784,1.6968003706548266e-05,0.0,7.301353082365006e-05,0.6340523608428741,0.6709481368288479,1.0619037607265507,1.7378844880342143e-05,0.33592431047930454,0.20297667593704707,3.897114317029974,4.934576298720436e-16,3.8971143170299736,-0.5417871328862651,0.07756829605178009,-0.8102065048163527,0.06980126860175516,1.749610867461622,0.6604810675391827,0.3557480047577573
1.5,1.5,1.0,1.7320508075688772,0.2,True,D_with_TF,0.3,frustrated,784,0.0008902145234962861,0.0,0.0037673654234976987,0.527765635134653,0.5072685554395016,1.1901830174392003,0.0011853603355665228,1.5322431352251813,0.43838535292227876,3.897114317029974,4.934576298720436e-16,3.8971143170299736,-0.2943442534617623,-0.2798396094130649,-0.2728088887434133,-0.018445368961276982,1.749610867461622,0.6604810675391827,0.3557480047577573
1.5,1.5,1.0,1.7320508075688772,0.2,True,D_with_TF,0.3,non_frustrated,784,0.0013080625846759242,0.0004963584683621014,0.0040670284096409005,0.5492830738324747,0.4701363432602571,1.1874663647255947,0.0011849277236604127,1.4391977591788163,0.42588528496534256,3.897114317029974,4.934576298720436e-16,3.8971143170299736,-0.4383233858916513,-0.27258352087046384,-0.3763615770344081,0.10797097763444545,1.749610867461622,0.6604810675391827,0.3557480047577573
1.5,1.5,1.0,1.7320508075688772,0.2,True,D_with_TF,0.5,frustrated,784,0.0037691049260528266,0.0,0.019023834770417174,0.37187507630291017,0.3683754625025761,0.8156638013628613,0.006021094125175035,1.8899981700802442,0.46254922575410595,3.897114317029974,4.934576298720436e-16,3.8971143170299736,0.06446770063268986,-0.5188465726575917,0.09855118765188478,0.11915613712926078,1.749610867461622,0.6604810675391827,0.3557480047577573
1.5,1.5,1.0,1.7320508075688772,0.2,True,D_with_TF,0.5,non_frustrated,784,0.007273871108914779,0.006526178517441538,0.01991870113342801,0.376388923989903,0.3434120082382439,0.8591670199409405,0.0059677427876561545,1.6590941578801073,0.42361046585437445,3.897114317029974,4.934576298720436e-16,3.8971143170299736,-0.14445912342581443,-0.4654900311825878,0.06714000419098803,0.21004554909619635,1.749610867461622,0.6604810675391827,0.3557480047577573
1.5,1.5,1.0,1.7320508075688772,0.2,True,D_with_TF,0.9,frustrated,784,0.018401843141930285,0.01832656177245757,0.05160560069176963,0.4850182423852185,0.4992561288176478,0.8807539033395364,0.019150728252265076,1.5140880157228718,0.3918123954615426,3.897114317029974,4.934576298720436e-16,3.8971143170299736,-0.08352441118905836,-0.15855267415814908,-0.32971477699616214,-0.3193493711665103,1.749610867461622,0.6604810675391827,0.3557480047577573
1.5,1.5,1.0,1.7320508075688772,0.2,True,D_with_TF,0.9,non_frustrated,784,0.025258568812822485,0.025567630586606258,0.05510730201747838,0.37511769892840624,0.33229587291006507,0.8797818481976238,0.017515885511543507,1.3652466838628479,0.3665134052514963,3.897114317029974,4.934576298720436e-16,3.8971143170299736,-0.6386374285772131,-0.12957443761514817,-0.11679499038846178,-0.31414706271755444,1.749610867461622,0.6604810675391827,0.3557480047577573
1.5,1.5,1.0,1.7320508075688772,0.2,True,D_with_TF,1.3,frustrated,784,0.036611054475687604,0.038934271274807454,0.0763522394302233,0.42037080044717634,0.36192791862940643,1.0880023253834759,0.019433804142140885,1.2925918364276867,0.38179188164140765,3.897114317029974,4.934576298720436e-16,3.8971143170299736,-0.21606546787998007,0.18090734269400893,0.5798002557601483,0.5441903311251048,1.749610867461622,0.6604810675391827,0.3557480047577573
1.5,1.5,1.0,1.7320508075688772,0.2,True,D_with_TF,1.3,non_frustrated,784,0.03875454349738086,0.041006177201181916,0.07947817715159404,0.4075915953737315,0.3659113490370811,0.9856715195362932,0.018309225415357382,1.220339914449293,0.36820989451838093,3.897114317029974,4.934576298720436e-16,3.8971143170299736,-0.08776355046723165,0.12568760067510246,0.6515593858108689,0.5891683888223401,1.749610867461622,0.6604810675391827,0.3557480047577573
1.5,1.5,1.0,1.7320508075688772,0.2,True,D_with_TF,2.0,frustrated,784,0.05145506238773518,0.050011842810936166,0.14534572659477019,0.44762892222732775,0.3944741524867938,1.0417965522198267,0.04548833535444678,1.427758592879707,0.38522605083582057,3.897114317029974,4.934576298720436e-16,3.8971143170299736,-0.10932229754900755,-0.028706175258462387,0.003177147413460534,-0.02257138027164098,1.749610867461622,0.6604810675391827,0.3557480047577573
1.5,1.5,1.0,1.7320508075688772,0.2,True,D_with_TF,2.0,non_frustrated,784,0.07639860952431558,0.07854998338801225,0.1607104036503454,0.41012085541803733,0.34399289031973346,1.0335646509881742,0.04908620976681265,1.4188127602116436,0.37882951726859615,3.897114317029974,4.934576298720436e-16,3.8971143170299736,-0.18931769416976288,0.02956378504479671,0.23983000889888667,0.1318487521517805,1.749610867461622,0.6604810675391827,0.3557480047577573
