,N,corr_J_rho_exp_mean,corr_J_tot_mean,corr_SL_face_mean,corr_P_pair_mean,corr_N_pair_sum_mean,corr_N_DE,target_max,target_mean,t
23,144,0.6112726216898454,0.829439495600909,0.4420496125945139,-0.5536904907266974,-0.31167693129108204,-0.2489165276389334,0.585798267995154,0.28421186229611284,0.5
24,144,0.4611698409626656,0.7723880272322097,0.49799799238609505,-0.5178421436370318,-0.41286702533970415,-0.2314303532538451,0.6598856286082389,0.3244810870091701,0.55
25,144,0.3856573866488963,0.7447606008654066,0.5339929307397073,-0.37521707903598733,-0.5007473295761138,-0.23796093670700236,0.711326228538836,0.3751305961255567,0.6
26,144,0.427451612020504,0.7976026233183917,0.5152416781769008,-0.2951942785646212,-0.5890104169324398,-0.41843277935732703,0.7739593062913137,0.40264272505034726,0.6499999999999999
27,144,0.466098758006076,0.8211503327625308,0.5458046823803836,-0.2861088908616933,-0.7322546323424431,-0.5802690591965309,0.7763557314195625,0.40162235304349786,0.7
28,144,0.4871503452606643,0.8207934889295979,0.5931617610896174,-0.24097320733624225,-0.7715053938652466,-0.6114968904358586,0.7571663318454197,0.39674700488312986,0.725
29,144,0.5151984081354185,0.8203219891300988,0.6516933982099987,-0.12917011684465388,-0.7872310201842732,-0.6200344254757053,0.7275798305208476,0.3923213594024667,0.75
30,144,0.5432195836716284,0.8196090144106464,0.7114217578697057,0.04608580909724227,-0.7873833819935196,-0.6148722965512238,0.6907272063106926,0.38940611467951936,0.775
31,144,0.566065546412196,0.8151522623379323,0.7663204994156222,0.24098964399259146,-0.7652970754122513,-0.6035530285452739,0.6951271919269549,0.3876305680278595,0.8
32,144,0.5859579616377196,0.8054575470360766,0.8115820596977271,0.40338628513526076,-0.7151912211896243,-0.5911318480687147,0.717793371729488,0.38604264391792387,0.825
33,144,0.6005205824343397,0.7918162892930429,0.8423138128087915,0.5134265294278897,-0.6365203904503209,-0.5844684860816967,0.7343729194929733,0.3840039324108754,0.85
34,144,0.6090181770941313,0.7763689483362533,0.8541251562297096,0.5718812933322285,-0.5389919800859875,-0.5864513935584086,0.7435422463818903,0.3815586765955594,0.875
35,144,0.5994740380132291,0.761287131768148,0.8453644308190474,0.5836102677121645,-0.46341268607181696,-0.5895986223842667,0.7467025238570102,0.378944758797997,0.9
36,144,0.5193138366817236,0.7332425063354062,0.7874964307843513,0.5204202326610418,-0.530354131938514,-0.5716294292168975,0.7776631034143664,0.37365846290740434,0.95
37,144,0.4117939011591309,0.6944714870716363,0.7184817880537336,0.4039390123625749,-0.624346478969928,-0.5229579111256683,0.7911554104369116,0.36981255425340076,1.0
