,state_id,t,N_points,r_J_rho_exp_I3,r_J_tot_I3,r_eta_I3,r_P_pair_I3,r_N_pair_sum_I3,rho_J_rho_exp_I3,rho_J_tot_I3,rho_eta_I3,rho_P_pair_I3,rho_N_pair_sum_I3,I3_max,I3_mean
56,5,0.15,400,0.226481953181578,0.5065184709456151,-0.14650251486285593,-0.45810513191842167,-0.3870165183178683,0.204395967035426,0.44160446703006134,-0.20847437286323525,-0.4709763518724159,-0.4267184607647051,0.005472461160021492,0.00233105351529898
57,5,0.2,400,0.3511619228721857,0.51725292335759,-0.01413585557536442,-0.42334644240021324,-0.13389859977705534,0.3634695216845105,0.44812198826242655,-0.045662394661133546,-0.4493799336245851,-0.23027262670391688,0.011593735428687194,0.005085318737249493
58,5,0.25,400,0.42762028960364334,0.5124417424762465,0.08749001837003181,-0.37779743652197056,0.1586198571227944,0.43750642191513694,0.44244126525790783,0.17913653036303273,-0.4216766354789717,0.15263307895674347,0.0209059456640908,0.009236463152858825
59,5,0.3,400,0.48346580492475505,0.4995909495664371,0.1820940757113885,-0.3148361519672189,0.19975549648232407,0.46430108938180864,0.43242795267470424,0.23164181735175374,-0.3719042619016369,0.20051994074962967,0.0332061478213628,0.014547453188244148
60,5,0.4,400,0.5733151421291901,0.4718646899793508,0.3424590303417403,-0.19218523927450248,0.04092749942671888,0.5326205163782273,0.421610822567641,0.32854324842903554,-0.2711167569797311,0.09326402040012749,0.06343947668135222,0.02609821301876609
61,5,0.5,400,0.5943564823679733,0.47346132452848894,0.4077150445357033,-0.18168357531093457,-0.1100407604441958,0.5917310030668446,0.4531751946969111,0.4233300013925452,-0.2785973774187726,-0.035577818215584055,0.09042520558402548,0.03603605877658806
62,5,0.6,400,0.47513567923312716,0.5313796147209621,0.24697367075493784,-0.00019375228335923204,-0.3514645527500498,0.4882010473951614,0.49001869397974335,0.2545242901217522,-0.023977972238799678,-0.3784357439304462,0.11963266077612597,0.04671973894322317
63,5,0.7,400,0.07321848804131001,0.5985676648048296,-0.29772219072922135,0.5798036930078175,-0.08046802008963812,0.13494096988828036,0.5770417724879933,-0.16902020092725265,0.6568505961139482,-0.08831800978573415,0.1657650462933283,0.06010125495349466
64,5,0.8,400,-0.19940492880694435,0.5789225210732233,-0.5774469698834317,0.8153296681060467,0.4941801736434419,-0.06593253707835674,0.595837848986556,-0.44382372840319473,0.8956850355314719,0.6450563441021505,0.21642471505023297,0.06969450517437557
65,5,1.0,400,-0.11662063311312298,0.36887479249448785,-0.2915873170022391,0.3333322953818851,0.17301043237646627,-0.060220225175295315,0.33898429979844674,-0.29686083064599167,0.29635771344798145,0.07678729339984032,0.22768894368587522,0.0774871913808846
66,6,0.1,400,0.011166486573655095,0.3913711359145918,-0.25304593587019003,0.198789026862202,0.03917458610448662,0.1217156908964396,0.29227328813036785,-0.23726988314453812,0.18284607653993878,0.08972819213049472,0.0031497369016288378,0.001427204695994365
67,6,0.15,400,0.11123790997334487,0.35879518199310256,-0.11909577741979267,0.32304819064147644,0.24658527024617666,0.15208421334517222,0.2652045088208486,-0.12491637864317011,0.3044728821267808,0.2540248226561558,0.008137706463694744,0.0038696444784108476
68,6,0.2,400,0.3043752399728123,0.3230429433419508,0.1495703815139436,0.4837990232381198,0.5700962196540792,0.2993817970017444,0.22461163979583648,0.21315967612203027,0.4583847180558905,0.5425165924397299,0.017012540817058455,0.008482601236260826
69,6,0.25,400,0.5174539766814705,0.29673660756520354,0.4620482649195993,0.6377597013362406,0.7998499976747988,0.4974834270957148,0.18974320513192452,0.49583417761570053,0.609849350662299,0.8147696196651508,0.03135416272945819,0.016252897432986392
70,6,0.3,400,0.5555846657064198,0.29069556100674604,0.6229437838879782,0.7735573572155531,0.5258506284532624,0.5046689666810417,0.1826793917461984,0.6447602303862259,0.7392475577972362,0.48919074494215586,0.052064786798588975,0.02806565040614931
71,6,0.4,400,0.3726163713019006,0.29477400556563715,0.4310114401031845,0.7768419203032769,-0.14945406207227416,0.25012187576172346,0.13174507340670877,0.33859806789482344,0.5918489490559316,-0.18095925599534995,0.10629701829031751,0.061674305395454584
72,6,0.5,400,0.19142670134475498,0.32403387774219916,0.09411018616592157,0.5817169189100954,-0.2957548918188261,0.03697166857292858,0.16427615172594828,-0.024100445790628106,0.3255515346970918,-0.3202191888699304,0.16581395445039815,0.09351357613205652
73,6,0.6,400,0.10445021219327086,0.3741781189327668,-0.0864163024617262,0.48745957551641256,0.23852303925178614,0.07209457559109744,0.2993023081394259,-0.0979019641302286,0.37317064481653006,0.1519760748504678,0.23370034981506235,0.10647955962358076
74,6,0.7,400,0.17801158741596476,0.45331046426260596,-0.07403934300700082,0.490869622575425,0.4973693127782764,0.17533890836817728,0.46863142894643084,-0.04961408622628682,0.46320252001575,0.5216970731067069,0.2589236892575165,0.10452724656546714
75,6,0.8,400,0.24960717244991001,0.5268143176395987,-0.07323962432795862,0.3135650897056679,0.22107209855945384,0.3048639678997993,0.6171051694073088,-0.03134829085675722,0.20478521740760877,0.19972212326327035,0.2642735244908453,0.09557264551506388
76,6,1.0,400,0.1699815401773183,0.30042324556522965,-0.036360830259049556,-0.11275290398562338,-0.14521491382031582,0.28324915308027837,0.28172683035217233,0.029134341017385913,-0.3054598023080803,-0.4062526982603611,0.2807147381524795,0.07720208906390011
77,7,0.1,400,-0.5424738091079296,-0.007480646823848427,-0.6118693647353314,-0.7891432447968703,-0.7523333747431034,-0.8080621978198678,0.07458864160960553,-0.8912143815490685,-0.8233226967715318,-0.7470900655820502,0.0006336966997764143,7.722731476198046e-05
78,7,0.15,400,-0.638443735251045,-0.06909494428806441,-0.733911206874378,-0.8390903841070931,-0.7108307047996837,-0.7161257752190299,-0.057643511677140206,-0.7937640130652984,-0.6845379407496948,-0.4800536695207823,0.0009532851518733038,0.00019804353233497278
79,7,0.2,400,-0.30663147212714986,0.0527958757318804,-0.4715251665037061,-0.4646579820771982,-0.23971898740403363,-0.33834561950243514,0.05329869541183259,-0.4811923250382858,-0.39775670438759386,-0.0610933878677352,0.0018337753426841876,0.0006337523376258261
80,7,0.25,400,0.17781915526475986,0.21364206930760463,-0.012507021369623582,-0.09223609430462953,-0.0373452447929412,0.1206676040431428,0.2059002853933132,-0.06504393769674095,-0.02292697239364003,0.016853408945418577,0.0058016723324352815,0.001930942755701516
81,7,0.3,400,-0.023886074243037774,0.20257952702000073,-0.17207852468988535,-0.07366456222421147,-0.15463132934502222,-0.07355344929274187,0.22205359680103148,-0.24370839499391264,-0.009254992743481296,-0.14672040615604928,0.014392219698742582,0.004161187452737486
82,7,0.4,400,-0.46282859446039776,0.19945722583709355,-0.5683809919470592,-0.21865242131889293,0.06993757194072958,-0.448359745510458,0.25130738143130615,-0.5918984404612534,-0.14794676378953334,-0.0729241626152985,0.03812409557308599,0.011043309423007498
83,7,0.5,400,-0.5061171269399306,0.2563025858357776,-0.6577856691513361,-0.21982960739973792,0.11946109676427369,-0.5138776673479241,0.2867667477915519,-0.7152770330266763,-0.18434717262029673,0.015103852110750968,0.057288458216682256,0.019482006103661652
84,7,0.6,400,-0.23761722916667932,0.4147322183724242,-0.5218482394763865,-0.10096988416432395,0.33601670219894586,-0.23102075637972735,0.38530553315958227,-0.5230334357722591,-0.06268426677666734,0.31501940637128983,0.06963868968776439,0.029558666741504938
85,7,0.7,400,0.26636799734431665,0.47673041442272,-0.058582199923263543,0.06685062012620964,0.059630150886588185,0.2448060300376877,0.4505698160613503,-0.05441965228502315,0.0477659235370221,0.0529786436165226,0.0984303936116756,0.04407513978171565
86,7,0.8,400,0.19671921148216429,0.4678919424587951,0.013669036547378749,0.284771959451343,0.059832774358602785,0.22589316183226144,0.4691419946374664,0.01848573562305952,0.32145613410083806,-0.041860199126244536,0.1665483195989654,0.060345170299667725
87,7,1.0,400,-0.03209124248978447,0.38551643596776,-0.17626555417507825,0.23158264587917995,-0.10924555593718707,0.09627285170532315,0.44924043275270464,-0.1545513785095626,0.2127482046762792,-0.10403258770367313,0.27725681870832625,0.09029582297266288
88,8,0.1,400,0.0697696435542739,0.2162590774978966,-0.006417135816749391,-0.11520995681604387,-0.09343756848870743,-0.030533417737130752,0.06368554461619595,-0.06183786252375545,-0.31485533360637397,-0.36531195546048206,0.0022506613408509353,0.0002238702309906481
89,8,0.15,400,0.09372169524377752,0.27462714256960136,-0.022170469250681765,-0.16191983724124231,-0.19939566421696905,0.1362493939340288,0.25503988738701533,0.010039456029208374,-0.34139898293233634,-0.42255517482687727,0.005744575661145536,0.0007056774283078382
90,8,0.2,400,0.0612835364158934,0.301491338084254,-0.0758468171830564,-0.1539318957932737,-0.18087302812586756,0.06675375611237866,0.26467563878436773,-0.08971917442340001,-0.24869933724483875,-0.2891552854557791,0.010971344489528717,0.001685423886475263
91,8,0.25,400,-0.09263807925292826,0.22612593055180313,-0.19469368048823688,-0.032052529473820625,0.003838965724524773,-0.10551848176164545,0.14742398005021778,-0.1972592041841557,-0.07750876289606909,-0.04254345676236568,0.01642674412525351,0.003203868381148821
92,8,0.3,400,-0.2626844198757517,0.08659394898922698,-0.2831188800024997,0.13463234767273036,0.18817548661034258,-0.24552920260860422,0.012704900167121867,-0.2580763748127411,0.07357771838057284,0.15480656389113204,0.02080242151639608,0.005251861412707995
93,8,0.4,400,-0.09462301744295998,-0.1066126794570152,-0.028457277236546116,0.20432451549364897,0.10492313517980113,-0.15128276928228493,-0.11096896770137615,-0.09142724217891514,0.14796854352897798,0.044093669340175605,0.054447611429434314,0.011569104332128842
94,8,0.5,400,0.022874835508000464,-0.10701315534279951,0.06400415292759351,0.08130431327647468,-0.0035497276307809495,0.185072340129903,0.04887278145247397,0.1659447169971439,0.007940128633038305,-0.16027263322840074,0.10217982791177604,0.022417377648309686
95,8,0.6,400,0.05204505239442615,-0.07640480156201233,0.08625238790340091,0.07945594104012191,0.05180814292369395,0.26728216770713853,0.11647366169158795,0.22068644745020055,0.11174664452590313,0.014416483140158408,0.15625082168223445,0.035242357743761936
96,8,0.7,400,0.08868113768885981,-0.0015966456009468954,0.10934063829752973,0.1787907257439684,0.05324531642770145,0.25425855739047476,0.09617527758982865,0.24581950623126717,0.2616356458028564,0.13615142068114244,0.18210262282644618,0.04624420346584648
97,8,0.8,400,-0.06596394353610537,0.20376352595808433,-0.19355935234782098,0.15258189350760298,0.055350370229317235,-0.026363822223920697,0.23486330977950057,-0.2209728287357835,0.16387144115133215,0.07275433846221335,0.18610511159364543,0.054699375954862434
98,8,1.0,400,0.42944684054270565,0.501896732457855,0.20568326037886192,0.12206585423306231,0.22499543357919394,0.40571312331629317,0.5443901928688337,0.19225241483581332,0.12091499227890941,0.23234330123734234,0.22382884775487794,0.07399375694447999
99,9,0.1,400,-0.22528668532689275,-0.22278973706825655,-0.047856238459372306,0.4352411455614535,0.40328686996953256,-0.19846781231884822,-0.1584185120605821,-0.06805889494706117,0.3019072058527411,0.2956598064987311,0.0017800877448011935,0.0004248707649187756
100,9,0.15,400,-0.11856737279929735,-0.29721641664800563,0.1305461941592094,0.4405027142676966,0.37855163929680014,-0.17731070067574006,-0.17081553139022626,-0.00805812451677684,0.31168981653799127,0.26367165101554935,0.004518921976078491,0.0009954428371614576
101,9,0.2,400,-0.03417348870518418,-0.35533628309004245,0.23561246916418088,0.46752586655846334,0.38198825688544813,0.03779987611373999,-0.18183730693894995,0.21287027668512684,0.43304517412674065,0.31787687892190014,0.010092825905969355,0.002013827397515724
102,9,0.25,400,-0.10626975875955572,-0.38347760958554045,0.09539305359646601,0.5117850778427826,0.3960658159412456,0.03031500328617807,-0.172759099381166,0.19360381412609154,0.5404963861771301,0.446206978709318,0.019638696978834545,0.003774530870119382
103,9,0.3,400,-0.20004323110394398,-0.3860635593651522,-0.03141444482894956,0.5478016969343956,0.3549890253785912,-0.020379867308848897,-0.13967560722710784,0.11334368923341442,0.6128083224110631,0.4704475302892725,0.033987896673906,0.006536004490220024
104,9,0.4,400,-0.2784132272772453,-0.3643380984962723,-0.1554389095260209,0.5202946221429054,0.1966818240855601,-0.11200325712096205,-0.10270904535712576,-0.04312952655749206,0.5803521989256344,0.271773643836962,0.07600686575169799,0.015195370565670592
105,9,0.5,400,-0.2889825342871618,-0.2767245198991362,-0.24021208188314194,0.2823756700959356,-0.01921009757554147,-0.18255427213526135,-0.056288308383697146,-0.18776961433763864,0.32566487346561607,0.09250862261488456,0.13023076482155602,0.027923693628037132
106,9,0.6,400,-0.29503296851983357,-0.13930642220246972,-0.30271114401799226,0.16007781580025462,-0.24477432614867742,-0.20206324891330724,-0.004788108146088744,-0.23288549794032917,0.23434455882091298,-0.08348481339438371,0.1631281827383131,0.040130164346201924
107,9,0.7,400,-0.3994954593915479,0.04071180101891663,-0.4530277100212861,0.1450665049837087,-0.1480314308042629,-0.35106275664222897,0.13694129338308364,-0.4406351181676835,0.24447640297751858,-0.02708979431121444,0.17161585819267738,0.04823237483219463
108,9,0.8,400,-0.47214500731468173,0.16724087626210293,-0.58096693682694,0.13489742800554885,-0.03805641808804268,-0.401931074569216,0.21048937805861284,-0.5631838098086881,0.20852436577728606,0.002810830067687923,0.15990028765463132,0.049074557668259564
109,9,1.0,400,-0.02488419133774883,0.28675927681586555,-0.2551401500796764,0.18612085877306053,-0.16456630476446177,0.039780285920822535,0.3685550864898461,-0.24995981399386558,0.26679416758319674,-0.04050797865111436,0.1749699490417152,0.04773556472158742
110,10,0.1,400,-0.2941783578618811,0.3930053486055845,-0.46623322358042396,0.061191237273247434,0.13472738691340896,-0.22475264501268918,0.40030376358481373,-0.4678716877378786,-0.12398503337650892,-0.10046575711606123,0.0019454421257874277,0.0005429610798046193
111,10,0.15,400,-0.1367138092828712,0.38732795003806914,-0.32617156983387213,0.18280110120985854,0.25646938172879064,-0.05821277398779789,0.3513023256929708,-0.2639128847669535,0.02100581870409888,0.018926636863467967,0.005988559811797054,0.0019734241641730967
112,10,0.2,400,0.10921027727550234,0.35312377586557464,-0.04852769538927265,0.3925959567735015,0.4595590687243752,0.16019039374298902,0.33743577927908747,0.011350304497583567,0.24442075625879173,0.244261938597163,0.013931360823011184,0.005470422678615044
113,10,0.25,400,0.2930609664830338,0.3435423645389938,0.1698360825446594,0.6077574601525396,0.6467121934183941,0.3294622466390415,0.3103540022125138,0.22239461925829598,0.43416515103219394,0.48289933062081636,0.026772185993660234,0.01206516960603314
114,10,0.3,400,0.2933793034709286,0.324818823384383,0.1857316457777275,0.768220173127016,0.7302241580799018,0.2996353102206889,0.24956987231170194,0.195682394853379,0.5683259895374346,0.6288686179288621,0.044314475828023295,0.02221335807155274
115,10,0.4,400,0.11217473980849633,0.29478973543367876,-0.00783651091249911,0.880754019368976,0.6381233863900302,0.06849211557572234,0.21380927380796128,-0.04145393165330449,0.7829548309676935,0.4577773611085069,0.1008846069653408,0.05160469846255058
116,10,0.5,400,0.040792841826512743,0.3119696341746568,-0.1159788276685213,0.7268264189845621,0.10687108862963493,0.007528922055762847,0.2570391689948062,-0.049216651999224544,0.5652717829486434,0.0147194044962781,0.1795541049945263,0.08244364456826699
117,10,0.6,400,0.13069733977154097,0.3785368395453484,-0.09633691426852724,0.31991309396054624,-0.19478983602602987,0.10967093544334651,0.34730354564716026,-0.009020215183605379,0.1607575047344046,-0.16643616522603263,0.22564719272432276,0.09961000354418087
118,10,0.7,400,0.2868402951050462,0.4731453157086449,0.018622844009939445,-0.1291460884196088,-0.01684452273298473,0.22907880674254213,0.4659259745373408,-0.04078392759235658,-0.16193163707273167,0.019880374252339076,0.2302274846345212,0.10165556516150605
119,10,0.8,400,0.2822549141316142,0.5592093106997875,-6.831390654852334e-05,-0.1891363767344952,-0.07712342332237533,0.26721260757879733,0.5554371589822436,-0.008516189401392295,-0.18822905143157143,-0.12106350664691652,0.20090340569826426,0.09211195557289453
120,10,1.0,400,0.28771933143981104,0.5278860636598649,-0.07632057725919163,-0.04025908004911365,0.05307094542121863,0.29994433447057167,0.5084806480585264,-0.07364874554311686,-0.09893907232660779,0.010243126238545603,0.17171946726068643,0.0659161839109646
121,11,0.1,400,0.4525302404872781,0.28745113298686786,0.38255638121002544,0.027399679658591847,0.008396051496201597,0.4727446763505107,0.23251663613873266,0.4172916663364041,-0.0004111923829160524,-0.09340217165226605,0.0035050804273409134,0.0015541708443412036
122,11,0.15,400,0.4530676207496613,0.2688981133008374,0.3828817704339959,0.10579874857900594,0.1760127702038391,0.4716718025912567,0.22862586894778208,0.4500926788533543,0.06713372585333181,0.06778417613880368,0.008898832269246103,0.003956536419764685
123,11,0.2,400,0.34481332437339574,0.2424408378248354,0.2773122222484237,0.16560258635904013,0.37733135700124415,0.36937012965647753,0.22925563838723587,0.319556578848322,0.10163374063158767,0.3618715734508173,0.018451899363431536,0.008108034655795727
124,11,0.25,400,0.06864328133122952,0.20998302233728441,-0.0012625221978515803,0.19726574787517212,0.5385550945335024,0.09112106778700135,0.23141419778385522,-0.06366243878046283,0.09764387897249156,0.6284658355792592,0.03354245854194996,0.014453315348460982
125,11,0.3,400,-0.13315628839176333,0.1770482811838992,-0.1904252469921862,0.20089022182522792,0.5465735117132745,-0.05333443965260709,0.24107119096162613,-0.19736788392315427,0.04384535912659134,0.6397023889785659,0.05464551106838006,0.02294488156200883
126,11,0.4,400,-0.14006984363292088,0.12058832338923732,-0.187010616047775,0.1341198206448966,0.042651727381485656,-0.026243880012972676,0.26464311092098664,-0.15419744508593708,-0.21538428369368806,0.13400975826834538,0.10660328516359938,0.0420464704000741
