t,h,hD,h_over_R,J_AB,J_BC,J_AC,J_CD,comm_max,J_tot,J_rho_exp,eta,I3,I3_minus,S_ABC,S_L,P_pair,N_pair_sum,N_tri_geom,N_tri_min,theta,phi,sign_label,sign_AB,sign_BC,sign_AC,J_tri_norm,J_tot_analytic
0.02,0.4330127018922193,0.4330127018922193,0.25,0.3385878528722976,0.294243563868033,1.6729551670650251,0.34641016151377546,2.090485849673075,0.32475952641916445,0.06112093966701742,0.18820368517266872,2.053914532694968e-08,0.0,9.94617652454919e-08,6.722417955629112e-09,0.020067089172453537,0.03805386948799897,0.0184149652440297,0.007628099024260386,0.17741033298920508,0.8267349088394192,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.3074340864932155,0.3159930579211564,1.6750022894932766,0.34641016151377546,2.087636564082245,0.32475952641916445,0.06129299569870555,0.18873348035245988,2.5173241909242485e-08,0.0,9.946180584856008e-08,6.722421175275883e-09,0.020082578891377635,0.03797442316701588,0.01837283607631137,0.007562663764303339,0.17741033298920508,0.9094083997233612,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.27408790761617347,0.33561821894208316,1.6769723402646604,0.34641016151377546,2.0945915421265027,0.32475952641916445,0.06149374018868947,0.18935161307422282,2.9853582769352114e-08,0.0,9.946184054347239e-08,6.722423395721933e-09,0.020097382629961046,0.03782081255080468,0.01833123083820848,0.007499058006292562,0.17741033298920508,0.992081890607303,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.23876926866694018,0.35296557133739664,1.6788104543964215,0.34641016151377546,2.101067313179276,0.3247595264191644,0.06172042412593777,0.19004961857924296,3.4448164147856554e-08,0.0,9.946187333490163e-08,6.722426060257192e-09,0.020111101251644364,0.0375931571086027,0.01829144721555885,0.007439133539107833,0.17741033298920508,1.074755381491245,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.20171776582845138,0.36789614841689716,1.6804649258253472,0.34641016151377546,2.1068851213162443,0.32475952641916445,0.061970052670581775,0.19081827515229696,3.881019797037222e-08,0.0,9.946189963313668e-08,6.722427836614031e-09,0.0201233677389258,0.03729242962665559,0.018254818536431867,0.00738470144938157,0.17741033298920508,1.1574288723751869,anti_like_all_positive,1.0,1.0,1.0,1.732050807568877,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.16319117359486934,0.3802877191205766,1.6818887869139263,0.34641016151377546,2.111883747106145,0.32475952641916445,0.062239447827261464,0.19164779710550975,4.278152084791923e-08,0.0,9.946192224114684e-08,6.722429057859358e-09,0.020133856448613756,0.03692074655189658,0.01822265215144411,0.0073374645628032885,0.17741033298920508,1.2401023632591288,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.12346344898423885,0.39003690742976416,1.683041291117821,0.34641016151377546,2.1159241870037246,0.32475952641916445,0.06252531687168297,0.19252804547750837,4.619686196788754e-08,0.0,9.946193939129923e-08,6.722430279104685e-09,0.020142290966672857,0.03648213285763667,0.018196159181923393,0.0072989465037750605,0.17741033298920508,1.3227758541430708,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.08282222428903295,0.39706110370265496,1.6838892359921558,0.34641016151377546,2.1188937488099127,0.32475952641916445,0.06282432410421018,0.19344874897718425,4.8887903882456156e-08,0.0,9.946195202104417e-08,6.722431611372315e-09,0.020148450465611083,0.03598530997427375,0.018176381401570248,0.007270422070422009,0.17741033298920508,1.4054493450270127,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.04156583991731499,0.40130007098951903,1.6844080663472778,0.34641016151377546,2.1207094146600927,0.3247595264191645,0.06313316313692639,0.1943997265701174,5.0682353817966906e-08,0.0,9.946196010970474e-08,6.722431944439222e-09,0.020152174541553877,0.035459657490484575,0.01816412252106609,0.007252854485694984,0.17741033298920508,1.4881228359109546,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688774,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,3.082414261826591e-17,0.4027171607647446,1.6845827045371156,0.34641016151377546,2.1213203435596424,0.32475952641916445,0.0634486267383213,0.19537110254443676,5.1371308749553586e-08,0.0,9.946196207022956e-08,6.722432388528432e-09,0.020153366541097943,0.03511841605584907,0.018159891644526773,0.007246845236982335,0.17741033298920508,1.5707963267948966,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.6897534837681683,0.0,1.5887857412595552,0.34641016151377546,2.121320343559642,0.3247595264191644,0.057544740561206224,0.17719184775178454,-1.0291650109734016e-08,1.0291650109734016e-08,9.946139153653985e-08,6.722391421298823e-09,0.020051343628135217,0.037440946335100395,0.020515547980568306,0.0111835984541851,0.25482066597841013,0.0,anti_like_all_positive,1.0,1.0,1.0,1.732050807568877,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.6875314754320313,0.04557638585084754,1.5890951083377698,0.34641016151377546,2.1205858128307753,0.3247595264191644,0.05727069019521666,0.1763479914713814,-9.964096343572935e-09,9.964096343572935e-09,9.946149034892353e-08,6.722397971614669e-09,0.02005432711125977,0.03791129731465103,0.020514471943300867,0.011177838827629898,0.25482066597841013,0.08267349088394192,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.680872894909082,0.09089407281831388,1.5900158390735057,0.34641016151377546,2.118397366239334,0.3247595264191644,0.057048995514140256,0.17566534889112875,-8.987894158384057e-09,8.987894158384057e-09,9.946158661926632e-08,6.722405299086631e-09,0.020062905017346193,0.03858525808164835,0.020510938705149626,0.011160384835351398,0.25482066597841013,0.16534698176788384,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.6698004252414976,0.1356932028634818,1.5915259171760159,0.34641016151377546,2.114800470977102,0.32475952641916445,0.05688176589312959,0.1751504152020248,-7.371775321553373e-09,7.371775321553373e-09,9.946167962384805e-08,6.722412404513989e-09,0.020076838774726574,0.03921901218527204,0.02050483792991048,0.011131580838924352,0.25482066597841013,0.24802047265182575,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.6543530208793951,0.17971174064874582,1.5935889728342774,0.34641016151377546,2.109870976010025,0.3247595264191644,0.056770538602244625,0.17480792396824527,-5.131108806709642e-09,5.131108806709642e-09,9.946177009975243e-08,6.722418510740624e-09,0.02009574054057895,0.03978545085282204,0.02049601253164735,0.011092005210990732,0.25482066597841013,0.3306939635357677,anti_like_all_positive,1.0,1.0,1.0,1.732050807568877,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.6345875755482555,0.22268473494019694,1.5961547912982628,0.34641016151377546,2.1037151098085785,0.3247595264191644,0.056716236229705376,0.17464071602476167,-2.289122754709619e-09,2.289122754709619e-09,9.946185352186153e-08,6.72242417287805e-09,0.02011908431365754,0.04027491925901356,0.020484293606492503,0.01104247301039335,0.25482066597841013,0.4133674544197096,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.6105811431299073,0.26434399244922585,1.5991600674448379,0.34641016151377546,2.0964692653325505,0.3247595264191644,0.05671912412283098,0.17464960842942012,1.1214283343613107e-09,0.0,9.946193455526216e-08,6.722430168082383e-09,0.02014622105081651,0.04068110317597539,0.02046954442568398,0.010984037964929043,0.25482066597841013,0.4960409453036515,anti_like_all_positive,1.0,1.0,1.0,1.732050807568877,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.5824335940486085,0.30441828693825324,1.6025294428188206,0.34641016151377546,2.0882993702691115,0.32475952641916445,0.056778771304533425,0.1748332741169524,5.056200513382977e-09,0.0,9.946200972510024e-08,6.722435719197506e-09,0.020176397365097277,0.04099878420832453,0.0204517090282317,0.01091799202417621,0.25482066597841013,0.5787144361875934,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
