t,h,hD,h_over_R,J_AB,J_BC,J_AC,J_CD,comm_max,J_tot,J_rho_exp,eta,I3,I3_minus,S_ABC,S_L,P_pair,N_pair_sum,N_tri_geom,N_tri_min,regime_label,description,sign,sign_label,lambda_h_over_Jbar,Jbar_RMS,R_internal_norm,theta,phi,J_tri_norm,include_D_transverse,env_label,J_tot_analytic
0.02,0.25,0.25,0.25,-0.3015053163573929,-0.05031233873643382,-1.704864573149169,0.2,1.2242280564851613,0.10825317547305484,0.020954956939833343,0.19357360048111674,-7.892721374893808e-11,7.892721374893808e-11,1.2214484319790973e-08,7.456141259964966e-10,0.019767608636007745,0.03360579182414882,0.016018432964890774,0.004964893532944782,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.17741033298920508,0.16534698176788384,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.29632076283881104,-0.07503860827285073,-1.704864573149169,0.2,1.2235949508044877,0.10825317547305482,0.020898941416538138,0.1930561512418642,1.7001841592898573e-10,0.0,1.2214479904862108e-08,7.456140149741941e-10,0.019772493482721486,0.033937361507755115,0.016039653262026252,0.004984009344899166,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.17741033298920508,0.24802047265182575,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.2891120380447394,-0.09925228802661627,-1.704864573149169,0.2,1.2227323875896723,0.10825317547305482,0.020849998508298176,0.19260403602190798,5.052141044044462e-10,0.0,1.2214476452324248e-08,7.456137929295892e-10,0.01977914679382895,0.03424092419470433,0.016068353128411338,0.005009940058741969,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.17741033298920508,0.3306939635357677,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.27992838487507227,-0.12278797401266398,-1.704864573149169,0.2,1.2216634383982081,0.10825317547305481,0.020808615583640288,0.19222175693885063,9.144575607071137e-10,0.0,1.2214473043064376e-08,7.456135708849843e-10,0.019787380145972713,0.034506451863307024,0.016103567849235764,0.00504187982300266,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.17741033298920508,0.4133674544197096,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.2688325369930603,-0.14548489363083747,-1.704864573149169,0.2,1.220416761955772,0.10825317547305481,0.020775213557730463,0.19191320224044237,1.3835485023533828e-09,0.0,1.2214468690851566e-08,7.456133488403793e-10,0.019796961484864657,0.03472922175233337,0.01614414601272728,0.00507885348563649,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.17741033298920508,0.4960409453036515,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.2559002902907794,-0.16718800390577093,-1.704864573149169,0.2,1.2190258757200365,0.10825317547305481,0.02075013972177242,0.19168158006540248,1.8971278454333135e-09,0.0,1.2214466132965987e-08,7.456129047511695e-10,0.019807622283948036,0.03490643191200807,0.016188803816076038,0.005119755525291966,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.17741033298920508,0.5787144361875934,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.2412199851263317,-0.18774905058762228,-1.704864573149169,0.2,1.2175282941277887,0.10825317547305481,0.02073366165237106,0.19152936218052888,2.4394575009209446e-09,0.0,1.2214465224315846e-08,7.45612793728867e-10,0.01981906565273768,0.035036250838496215,0.01623618000382101,0.005163391102176217,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.17741033298920508,0.6613879270715354,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.22489190286962407,-0.20702758087892736,-1.704864573149169,0.2,1.2159645514478246,0.10825317547305482,0.020725962381277115,0.1914582393607104,2.9950497669059784e-09,0.0,1.2214459056721106e-08,7.456126827065646e-10,0.01983097508700413,0.035117490852857175,0.01628488768717626,0.005208516869491126,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.17741033298920508,0.7440614179554773,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.2070275808789274,-0.22489190286962407,-1.704864573149169,0.2,1.2159645514478246,0.10825317547305481,0.020727136971279325,0.19146908975837384,3.549200379245582e-09,0.0,1.2214457481381752e-08,7.456123496396572e-10,0.01984302355394592,0.03514948411081474,0.01633356036444777,0.005253879683993416,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.17741033298920508,0.8267349088394192,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.18774905058762228,-0.2412199851263317,-1.704864573149169,0.2,1.2175282941277887,0.10825317547305481,0.020737190602328107,0.19156196122385138,4.088256177326219e-09,0.0,1.2214454702172747e-08,7.456120165727498e-10,0.01985488262091698,0.03513204060846224,0.01638089058369893,0.005298251900637696,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.17741033298920508,0.9094083997233612,1.7320508075688772,True,D_with_TF,0.10825317547305482
