coupling_label,env_label,include_D_transverse,Jz,Jz_abs,J_CD,t,N,corr_J_rho_exp,corr_J_tot,corr_eta,corr_S_L,corr_P_pair,corr_N_pair_sum,max_I3_minus,mean_I3_minus,median_I3_minus,h_at_max_I3,max_J_tot,mean_J_tot,max_J_rho_exp,mean_J_rho_exp,mean_S_ABC,mean_S_L,mean_P_pair,mean_N_pair_sum
ferro_like_J_negative,D_with_TF,True,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.5222222222222223,9,0.08860188136644524,0.11094819812443027,0.3043474408911937,0.9793545159388506,-0.37887948344965827,-0.34262591062991693,0.05491310609884052,0.02750953144419831,0.02694243095539328,1.0,81.0,17.134999999999998,5.529882798467765,1.031166820942666,0.04691891384019034,0.01105027296491433,1.9051079538353863,0.3972084293114734
ferro_like_J_negative,D_with_TF,True,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.55,9,0.07603350968660137,0.1097808966375002,0.10773806386577052,0.9757177446765148,-0.3382355907055273,-0.3517453467769229,0.06064647192175174,0.030033746747040783,0.031801698544482344,1.0,81.0,17.134999999999998,5.990831904206251,1.1279708615107598,0.0514185658747017,0.012324196010670955,1.8823224685166673,0.40076990493591685
ferro_like_J_negative,D_with_TF,True,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.64,9,-0.035581720088857106,0.0012336596843545162,-0.24022113847898438,0.9784328593665942,-0.201291877482263,-0.5621985807574464,0.07781014891462723,0.03751000675831958,0.03276532871714889,1.0,81.0,17.134999999999998,2.3085760238238064,0.59191669011214,0.06605375905496808,0.016647477564171904,1.70538010127672,0.41954421938353875
ferro_like_J_negative,D_with_TF,True,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.73,9,-0.022226773821758493,-0.0052040476480038865,-0.36459605346621876,0.9641667699238214,0.1184789115819113,-0.4828295196126126,0.10288858396776948,0.04689709274510415,0.04371002413595905,1.0,81.0,17.134999999999998,5.100542054143154,0.9196505613607004,0.08427758671757032,0.022320232520659226,1.4740072664378647,0.4131795847992408
ferro_like_J_negative,D_with_TF,True,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.8200000000000001,9,0.19318491456780737,0.14990802847570128,-0.5304693289677311,0.8795237714944424,0.6107183448731415,0.4995801074577958,0.12438036962101612,0.05914411363184938,0.05820022199782193,1.0,81.0,17.134999999999998,3.6021101222006,0.9754130771937753,0.10497742365598732,0.02905181327943824,1.2685778894558621,0.3597118348354777
ferro_like_J_negative,D_with_TF,True,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.91,9,0.26475841837860814,0.24886556718173264,-0.7532847449112522,0.8578334337976472,0.5294778050037794,0.7584984531315054,0.11711700782784482,0.06778874792425557,0.07475488408045575,1.0,81.0,17.134999999999998,3.727601011005073,0.9041299293340384,0.12186282185681582,0.03483170868395025,1.1368876453076502,0.3267312939443659
ferro_like_J_negative,D_with_TF,True,-1.7320508075688772,1.7320508075688772,0.34641016151377546,1.0,9,0.022393744676489014,0.08824543319774712,-0.21942259226094923,0.8202365395852482,0.1497228911743036,-0.008017627980599492,0.14848770521671562,0.06883783010682788,0.07346550302148858,0.75,81.0,17.134999999999998,6.314302924960468,1.0004566823281573,0.1374609560331625,0.040430593008902976,1.3147059052538455,0.3876420143015401
anti_like_J_positive,D_with_TF,True,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.02,9,0.9853877065547992,0.977178762035615,0.8751528169691587,0.9780282259782539,0.8307881438395542,0.8279246009507806,9.068385613118648e-08,1.3711519603139954e-08,0.0,3.0,81.0,17.134999999999998,9.082762041856155,1.812004314005873,2.4502917262529307e-06,2.10012472782554e-07,0.056123833073269146,0.08633194589552914
anti_like_J_positive,D_with_TF,True,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.04,9,0.999544171358116,0.9968175335188266,0.9038838352436515,0.9966251386400677,0.8270318455330505,0.820307633647074,2.1498791539300037e-06,3.980414089113518e-07,5.834358367774765e-08,3.0,81.0,17.134999999999998,11.536769041779683,2.268555406568812,3.2572453212353245e-05,3.368570724853686e-06,0.18405279106327443,0.1676704350740646
anti_like_J_positive,D_with_TF,True,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.06,9,0.9985308300060683,0.9998269535836165,0.8892078977205174,0.9999761336651655,0.7465246971761649,0.7248628760097967,1.1013583029189635e-05,2.3483990641040057e-06,6.563024336062501e-07,3.0,81.0,17.134999999999998,12.85687449094393,2.5640204093736023,0.00014192778138966857,1.663890684757943e-05,0.35835049441327965,0.2419432476289307
anti_like_J_positive,D_with_TF,True,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.08,9,0.9878896988906336,0.9884046933392816,0.8402537451381923,0.9948565234439898,0.5749635416031145,0.49516453451974035,2.9337190601677176e-05,7.4989475569846026e-06,3.200364305268674e-06,3.0,81.0,17.134999999999998,12.820317749940001,2.6633101625924858,0.0003877415478806875,4.998546953130203e-05,0.562267271477275,0.3074021790931785
anti_like_J_positive,D_with_TF,True,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.1,9,0.9396534375012472,0.9184766057264627,0.7408584669466658,0.9516107782042023,0.3681981670957999,0.18390715239912445,4.913958552527336e-05,1.6942599155533033e-05,1.0711070932444922e-05,3.0,81.0,17.134999999999998,11.47446744176076,2.565198489462204,0.0008146549334521168,0.00011322201850321672,0.7820899351798107,0.3627056634906316
anti_like_J_positive,D_with_TF,True,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.14,9,0.3097211790054558,-0.003612692406422006,0.8652359339255695,0.21671305932151652,0.7358863518647358,0.5551083449328265,0.00012165466329613819,4.7753966933569497e-05,3.569920975050715e-05,1.5,81.0,17.134999999999998,6.255102579842386,1.9282791225443248,0.002272954133077932,0.00035259293050465205,1.225587469332464,0.4401026983530316
anti_like_J_positive,D_with_TF,True,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.18,9,0.3097922904618027,-0.2418679080088064,0.7441755031558022,0.01907692304116774,0.6509219392065724,0.463489949552749,0.00033060033515359185,0.0001270950607459583,5.398224001919999e-05,1.0,81.0,17.134999999999998,3.6356666033643994,1.136626398376894,0.0044416442864223865,0.0007423372551992448,1.6221937459095388,0.4743341551809663
anti_like_J_positive,D_with_TF,True,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.21999999999999997,9,0.3385358730686401,-0.1368098831079974,0.6250411978193203,0.07586955296416932,0.42747640834284845,0.06981259198905114,0.0008758922816464471,0.0003325861099535896,0.00023478470007267868,1.0,81.0,17.134999999999998,2.0442260198050324,0.6786670413411805,0.007131483943445385,0.0012599560711228116,1.9382298655236534,0.4728326549715319
anti_like_J_positive,D_with_TF,True,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.26,9,0.7747929789731486,0.5078834565930597,0.26193045168583345,0.161600128664084,-0.3264368215025929,-0.9141343946426923,0.0025906992318487764,0.0009467051114885419,0.0005671139926896711,3.0,81.0,17.134999999999998,2.935155882978162,0.6849174306658458,0.01024973361084786,0.0018977828589305092,2.1680553265276954,0.44735136442954343
anti_like_J_positive,D_with_TF,True,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.3,9,0.69912003032806,0.5066114065803988,0.7387959876386947,0.07080853449468169,-0.2941957633874322,-0.9706674573261308,0.0053657386274642786,0.0018871457461925143,0.0009137875777702432,3.0,81.0,17.134999999999998,7.028735414098045,1.0226408287839652,0.01382258689938929,0.002671085727889445,2.323581127837272,0.41303550112182696
anti_like_J_positive,D_with_TF,True,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.3277777777777778,9,0.5264746917337493,0.41227891632485864,0.7256847796857974,0.21022104144935597,-0.1400962628098037,-0.872267156382683,0.006034763399718302,0.002827653879425688,0.0014893874617405208,3.0,81.0,17.134999999999998,8.453730390142278,1.121384825049153,0.01663715980412311,0.003306098432328159,2.396158890528243,0.3931662479119983
anti_like_J_positive,D_with_TF,True,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.35555555555555557,9,0.223805162680259,0.24910201324357148,0.29080977417923376,0.4538469177389404,0.0004965513626343153,-0.7454934165314846,0.008429081634662352,0.004149306206125916,0.004486317125025237,0.75,81.0,17.134999999999998,7.794111195484094,1.0150943719207135,0.01980466394814487,0.004041503683581175,2.4438407701976796,0.3856407980509158
