h_over_R,h,t,N,sign_label,corr_J_rho_exp,corr_eta,corr_S_L,corr_P_pair,corr_N_pair_sum,corr_J_tot,std_J_tot,mean_J_tot,J_tot_analytic,max_I3_minus,mean_I3_minus,median_I3_minus,max_J_rho_exp,mean_J_rho_exp,mean_S_ABC,mean_S_L,mean_P_pair,mean_N_pair_sum
0.25,0.4330127018922193,0.5222222222222223,400,anti_like_all_positive,-0.6432678970720481,-0.6432678970720482,0.5361760567623286,0.08771163642489918,-0.20071999923111533,,8.423257039365817e-17,0.3247595264191645,0.32475952641916445,0.01321598210155055,0.005840238732607464,0.0057971700776871665,0.07380595269822607,0.03847517561800957,0.016772378490762452,0.0031103735741164784,2.3541102098418296,0.4134712917499039
0.25,0.4330127018922193,0.55,400,anti_like_all_positive,-0.6492717195978603,-0.6492717195978599,0.5277135191348374,0.13618807503381058,-0.23069203135489955,,8.423257039365817e-17,0.3247595264191645,0.32475952641916445,0.015992460345493124,0.0072146895840957525,0.007461477867774085,0.0725506142092196,0.037239516251342454,0.01995669739108231,0.0038021792618231566,2.389111676201762,0.39971963873269745
0.25,0.4330127018922193,0.64,400,anti_like_all_positive,-0.659871702040174,-0.6598717020401741,0.4677357171093092,0.2708197009617374,-0.37409851011535494,,8.423257039365817e-17,0.3247595264191645,0.32475952641916445,0.026759799132185486,0.0128896385877096,0.014585872686017555,0.0682280794831732,0.03233094217422387,0.03287621059406768,0.006800788608737278,2.411184662350524,0.37716562432704637
0.25,0.4330127018922193,0.73,400,anti_like_all_positive,-0.6616974961581413,-0.6616974961581416,0.3567840208979654,0.3693811294745867,-0.44911492135826064,,8.423257039365817e-17,0.3247595264191645,0.32475952641916445,0.03980849783777038,0.019800128490586117,0.02403277724291446,0.06449578912670163,0.02706667872830704,0.050069464568088105,0.011169884622691677,2.3286086654373195,0.39357248957243735
0.25,0.4330127018922193,0.8200000000000001,400,anti_like_all_positive,-0.6310500875628586,-0.631050087562859,0.25236328650531425,0.4290258343916483,-0.27061366350973937,,8.423257039365817e-17,0.3247595264191645,0.32475952641916445,0.05372365459214491,0.02663708723522745,0.032639850872040674,0.061509002158623996,0.02417171733647031,0.07177208047097806,0.017169909381044176,2.193428191397935,0.4274966697715885
0.25,0.4330127018922193,0.91,400,anti_like_all_positive,-0.5606016473812173,-0.5606016473812178,0.21113522311285496,0.43127788546404894,0.12247209751489035,,8.423257039365817e-17,0.3247595264191645,0.32475952641916445,0.06997700425166935,0.03252233184630286,0.03955404177532287,0.059554129540168615,0.02358758258393291,0.0980367829417121,0.025026138774045165,2.0551436501915754,0.4542297935186855
0.25,0.4330127018922193,1.0,400,anti_like_all_positive,-0.47934487238371476,-0.4793448723837144,0.17055289178859293,0.3166084674232439,0.07231769921865501,,8.423257039365817e-17,0.3247595264191645,0.32475952641916445,0.0921927809627921,0.038221299393781945,0.04111165548900235,0.05871252923223126,0.024615974918748694,0.12873927983431802,0.03491257735832881,1.9483608258688079,0.46485655710992646
0.5,0.8660254037844386,0.02,400,anti_like_all_positive,-0.4911404072103543,-0.4911404072103544,0.21588314202771086,-0.6930390903184048,-0.19646251529899778,,3.3693028157463266e-16,1.299038105676658,1.2990381056766578,1.674572940137813e-07,5.6363921215023124e-08,2.432875622755087e-08,0.26628286126638745,0.12833266354046044,3.724510649327889e-07,2.7003931873104124e-08,0.02077473570097045,0.042251410368275365
0.5,0.8660254037844386,0.04,400,anti_like_all_positive,-0.5148332034371498,-0.5148332034371501,0.23455376376802,-0.7179032622251139,-0.17982006807312698,,3.3693028157463266e-16,1.299038105676658,1.2990381056766578,2.3053147346901142e-06,7.917358471266715e-07,3.6637215187269496e-07,0.27755162467130917,0.13482842505926987,5.131036477118337e-06,4.3531037644845004e-07,0.06991947536598148,0.08338494186856099
0.5,0.8660254037844386,0.06,400,anti_like_all_positive,-0.5331054660420084,-0.5331054660420091,0.25332797352072245,-0.7349396086713043,-0.16691997962844962,,3.3693028157463266e-16,1.299038105676658,1.2990381056766578,1.0640064670824492e-05,3.6944942405676216e-06,1.7955457356872186e-06,0.28731607079402277,0.1408478960214043,2.3535675030432712e-05,2.2177090332969884e-06,0.1399310137460235,0.12322803775995549
