t,h,hD,h_over_R,J_AB,J_BC,J_AC,J_CD,comm_max,J_tot,J_rho_exp,eta,I3,I3_minus,S_ABC,S_L,P_pair,N_pair_sum,N_tri_geom,N_tri_min,h_over_Jz,Jz,Jz_abs,include_D_transverse,env_label,coupling_label
0.04,2.598076211353316,0.0,1.5000000000000002,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,18.0,20.25,2.43187591537775,0.12009263779643209,-1.700029006457271e-15,1.700029006457271e-15,-0.0,2.220446049250313e-16,0.18807471380296514,0.16977887650720297,0.08542340587628836,0.08432623457819764,1.5,1.7320508075688772,1.7320508075688772,False,D_no_TF,anti_like_J_positive
0.04,3.4641016151377544,0.0,2.0,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,23.999999999999996,35.999999999999986,4.631395816809939,0.12864988380027614,2.0966994897817423e-15,0.0,3.2034265038149176e-16,0.0,0.1903714316539329,0.17094063039955937,0.08604563663738601,0.08479419632197979,2.0,1.7320508075688772,1.7320508075688772,False,D_no_TF,anti_like_J_positive
0.04,5.196152422706632,0.0,3.0000000000000004,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,36.0,81.0,11.544137130015706,0.14252021148167537,1.065129068796435e-15,0.0,-9.610279511444756e-16,-4.440892098500626e-16,0.1929372885811873,0.17218241058406164,0.08673035657870712,0.0846350417882184,3.0,1.7320508075688772,1.7320508075688772,False,D_no_TF,anti_like_J_positive
0.06,0.0,0.0,0.0,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,-3.4579116439360216e-16,3.4579116439360216e-16,3.2034265038149176e-16,2.220446049250313e-16,0.34205274067886077,0.23567421061696203,0.12259210293666704,0.11873528915138785,0.0,1.7320508075688772,1.7320508075688772,False,D_no_TF,anti_like_J_positive
0.06,0.17320508075688773,0.0,0.1,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,1.2,0.08999999999999998,0.008922514467463068,0.09913904963847855,7.621247986280359e-16,0.0,-3.2034265038149176e-16,0.0,0.34460521881682377,0.2366915498444933,0.12315582606891967,0.1195288985736867,0.1,1.7320508075688772,1.7320508075688772,False,D_no_TF,anti_like_J_positive
0.06,0.4330127018922193,0.0,0.25,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,2.9999999999999996,0.5624999999999998,0.058508301556970656,0.10401475832350343,3.319133765857877e-16,0.0,-3.2034265038149176e-16,2.220446049250313e-16,0.3482562355419029,0.2381366077699451,0.12395901876315281,0.1206760875184099,0.25,1.7320508075688772,1.7320508075688772,False,D_no_TF,anti_like_J_positive
0.06,0.8660254037844386,0.0,0.5,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,5.999999999999999,2.249999999999999,0.2517568095188118,0.11189191534169418,-3.2034265038149176e-16,3.2034265038149176e-16,-3.2034265038149176e-16,-4.440892098500626e-16,0.35385262313415317,0.24032672809075933,0.12518287953880564,0.12246980958420241,0.5,1.7320508075688772,1.7320508075688772,False,D_no_TF,anti_like_J_positive
0.06,1.299038105676658,0.0,0.7500000000000001,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,9.0,5.0625,0.6044056074127311,0.11938876195807034,-1.6826729171508273e-15,1.6826729171508273e-15,-9.610279511444756e-16,0.0,0.35881592089557846,0.24224051648383468,0.12626064848236465,0.12411111571946436,0.75,1.7320508075688772,1.7320508075688772,False,D_no_TF,anti_like_J_positive
0.06,1.7320508075688772,0.0,1.0,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,11.999999999999998,8.999999999999996,1.137862459511858,0.12642916216798428,-1.488383887841425e-15,1.488383887841425e-15,-9.610279511444756e-16,-2.220446049250313e-16,0.3631229270980919,0.2438747273600516,0.1271896732979008,0.12559511381562263,1.0,1.7320508075688772,1.7320508075688772,False,D_no_TF,anti_like_J_positive
0.06,2.598076211353316,0.0,1.5000000000000002,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,18.0,20.25,2.8119162646150127,0.13886006245012408,-1.817990202823694e-15,1.817990202823694e-15,-0.0,0.0,0.36969024486138913,0.2462955017248896,0.12859289868450235,0.12629981413377533,1.5,1.7320508075688772,1.7320508075688772,False,D_no_TF,anti_like_J_positive
